seeds: 4188359137 37519573 3736161691 172346126 2590035450 66446591 209124047 106578880 1404892542 30069991 3014689843 117426545 2169439765 226325492 1511958436 177344330 1822605035 51025110 382778843 823998526

seed-to-soil map:
3523785800 3747465601 286820892

water-to-light map:
3408155249 2527370950 73535457
1697763259 1358503385 195569028
4146691798 4150439777 2978835
1667104621 3141702962 30658638
3109198454 2600906407 225322957
2896907826 3481425874 212290628
3568598531 1256359145 28510402
1021594560 3172361600 54292616
2709047387 0 23043868
634713149 1912815102 64867237
2732091255 3693716502 115595269
4005143114 4153418612 141548684
1341220299 1554072413 325884322
3514549073 2826229364 54049458
1113545862 2299696513 227674437
3481690706 1879956735 32858367
379941491 3226654216 254771658
4149670633 4005143114 145296663
699580386 1977682339 322014174
2847686524 2880278822 49221302
1075887176 23043868 37658686
3334521411 1284869547 73633838
3597108933 2929500124 212202838
1893332287 440644045 815715100
0 60702554 379941491

light-to-temperature map:
3239555722 2588818955 376881377
413170934 1615450109 438931580
1386539780 3880234113 95792562
3901352290 2965700332 122376625
2415511159 396206595 236868242
396206595 3092807515 16964339
2652379401 633074837 587176321
1998109231 1220251158 178061188
2176170419 3109771854 239340740
852102514 2054381689 534437266
1806003521 3349112594 192105710
1487062900 3976026675 318940621
1482332342 3088076957 4730558
3616437099 3687776838 138356657
3754793756 3541218304 146558534
4077829533 1398312346 217137763
4023728915 3826133495 54100618

temperature-to-humidity map:
2477444013 1065021126 6182773
845330217 1308005650 445611689
1290941906 3378900568 76961272
2975821403 1792935684 125881029
2161173272 2394771508 172817491
2483626786 3710234886 492194617
3447920062 2383111679 11659829
4033768577 1918816713 94002198
3319210784 3455861840 27565379
1373852246 1071203899 92358857
3101702432 845330217 174648768
2026258159 2567588999 134915113
1799450492 3483427219 226807667
3552117684 3041692569 337207999
3889325683 1163562756 144442894
3346776163 2047917336 101143899
3459579891 4202429503 92537793
0 348737431 60744241
1367903178 2829658946 5949068
1466211103 2702504112 127154834
1764704299 2835608014 34746193
60744241 322208375 20457270
1593365937 2870354207 171338362
81201511 342665645 6071786
4255648951 1753617339 39318345
2442345588 2012818911 35098425
2333990763 2231897270 108354825
87273297 0 322208375
4210606810 1019978985 45042141
3276351200 2340252095 42859584
4127770775 2149061235 82836035

humidity-to-location map:
4164635022 1854717524 130332274
1293632444 529805154 119897086
2886189584 4227662016 67305280
2977935483 447338344 82466810
1796689277 771172820 2500486
3592167651 2376391709 149158288
85140393 196642481 8447522
1799189763 1985049798 97611367
93587915 82281848 114360633
1191989560 4020597507 76356570
2953494864 3996156888 24440619
2292169251 649702240 113196341
3741325939 3311723608 237145571
3978471510 3948521384 47635504
2457376544 762898581 6077326
1413529530 768975907 2196913
1268346130 3923235070 25286314
4064092089 3749326886 100542933
2463453870 3849869819 73365251
2858545 0 82281848
4026107014 4166840403 37985075
3060402293 223340676 11429685
0 205090003 2858545
3071831978 1031969734 125782276
895745297 2082661165 83676280
513318799 1318499280 382426498
2536819121 3548869179 86842399
2405365592 1157752010 52010952
2086131564 3105685921 206037687
1972516256 3635711578 113615308
3197614254 2921186788 184499133
3382113387 2166337445 210054264
383000830 933333460 37595105
2777453266 1209762962 108736318
443432473 4096954077 69886326
1461500584 2540223954 335188693
1415726443 2875412647 45774141
420595935 4204825478 22836538
979421577 234770361 212567983
223340676 773673306 159660154
1911475087 970928565 61041169
1896801130 2525549997 14673957
2623661520 1700925778 153791746
