82-82,8-83
74-90,58-84
47-47,48-88
47-48,15-48
97-97,12-98
57-89,57-71
79-90,79-84
14-36,6-35
13-97,46-97
49-94,93-93
73-96,54-74
29-31,21-38
24-98,26-46
71-80,78-81
10-90,89-91
65-99,66-98
28-62,29-62
4-97,96-96
32-98,31-31
51-63,52-62
12-44,13-29
8-28,1-26
9-99,6-10
36-64,35-35
51-65,52-91
26-26,27-32
30-91,30-90
34-35,34-98
6-60,5-60
11-12,10-12
1-99,99-99
80-82,79-82
23-89,23-89
39-90,89-93
55-64,64-64
19-19,20-82
3-89,1-90
2-73,74-92
7-48,6-47
3-58,7-99
32-94,10-93
54-56,53-56
90-90,7-89
73-73,34-74
70-91,71-91
11-82,81-84
99-99,3-99
18-98,19-90
23-56,24-57
59-59,58-59
9-85,98-99
41-58,41-73
38-82,37-81
42-97,41-42
1-14,10-52
10-93,11-93
81-92,38-91
15-97,14-94
2-94,37-82
27-98,28-97
92-93,3-93
79-95,18-79
9-14,9-61
3-99,18-97
66-98,65-99
27-42,26-28
7-8,8-34
38-97,16-38
22-89,21-85
18-69,5-59
4-89,3-5
17-24,17-98
2-14,2-21
33-77,53-78
2-87,3-29
29-35,32-36
77-78,44-77
3-93,92-97
5-97,5-99
3-21,21-21
41-86,54-82
7-96,95-99
43-43,44-66
16-18,17-67
12-13,12-86
7-74,2-73
3-77,11-78
1-27,28-44
2-73,1-74
3-96,3-97
75-90,15-75
14-39,14-66
3-96,2-97
27-80,28-79
43-43,41-43
17-69,16-70
2-43,2-33
5-98,5-91
3-15,16-78
59-85,59-72
12-91,8-91
25-25,25-73
51-70,23-71
14-55,15-56
26-94,26-95
17-92,7-17
67-79,66-66
54-67,67-67
79-81,28-80
59-63,64-64
17-37,17-81
9-93,9-77
32-99,32-91
20-20,11-21
29-95,29-45
7-20,19-78
76-93,77-80
9-9,9-43
35-75,35-53
23-81,22-81
9-94,24-94
16-84,3-85
12-79,10-79
2-4,5-92
33-97,15-98
7-40,11-40
55-77,56-77
47-63,46-62
26-88,5-69
4-98,3-98
8-23,2-23
2-67,1-68
10-72,11-61
52-55,54-56
28-38,27-38
1-2,1-93
96-96,90-96
7-89,6-78
1-71,71-72
1-34,33-33
29-57,29-58
17-99,2-98
42-88,89-89
22-27,26-69
31-91,24-91
6-29,5-6
4-95,3-3
8-94,5-8
26-84,80-85
37-92,37-91
17-42,17-50
44-73,23-74
7-43,33-83
12-30,29-57
27-74,73-75
23-63,63-97
1-68,2-68
32-92,32-94
12-54,11-66
64-76,65-95
29-99,29-61
11-34,10-34
7-18,19-34
35-86,34-86
37-83,37-38
36-37,36-92
33-36,41-84
5-71,3-70
18-42,43-53
85-87,20-86
24-88,23-89
57-96,11-58
5-28,22-29
8-88,7-94
4-6,5-87
5-23,22-90
1-99,99-99
18-32,33-91
5-8,9-94
2-6,6-44
3-82,4-82
24-62,44-63
47-51,46-51
98-98,61-76
9-16,5-8
41-76,75-77
44-89,43-88
2-88,1-91
42-91,7-91
23-87,87-87
7-76,7-64
82-91,80-90
54-85,53-95
57-89,76-89
4-90,91-91
43-43,44-88
5-93,4-92
65-85,15-41
1-47,1-95
10-91,10-92
97-99,5-97
1-99,1-2
2-72,2-71
5-6,6-11
52-91,50-53
70-96,71-97
70-76,51-70
2-13,1-44
28-81,29-80
35-79,36-79
45-68,44-72
85-94,3-76
3-3,2-4
33-54,54-63
2-71,70-95
32-35,37-44
15-50,15-16
7-62,6-97
28-45,28-39
53-97,52-52
58-72,58-73
10-86,9-86
55-93,22-59
32-61,32-98
7-97,99-99
13-49,37-50
33-65,65-65
22-37,21-69
88-98,28-89
41-92,42-75
60-82,14-61
3-91,4-28
18-57,17-17
34-96,35-99
1-87,77-84
2-8,7-95
5-97,4-98
46-46,47-87
92-93,17-92
36-74,37-48
24-80,24-81
6-10,10-99
6-55,3-56
8-74,19-63
28-28,13-28
2-19,19-64
36-54,15-54
2-80,6-80
63-64,64-90
20-97,20-72
4-80,4-5
15-17,16-71
4-20,19-21
23-49,13-62
37-96,36-94
12-13,12-63
28-79,78-78
3-79,3-4
54-74,20-70
29-91,8-30
5-6,5-48
14-61,13-62
18-90,17-91
89-99,69-89
12-87,11-88
22-66,51-65
7-93,1-7
59-69,55-81
35-54,53-55
52-97,28-53
69-71,32-70
18-85,84-86
3-49,4-48
26-27,26-40
94-96,16-95
5-50,76-95
90-96,9-95
84-85,13-75
4-31,5-30
1-87,1-89
77-79,32-78
25-79,5-41
71-73,24-72
22-67,23-66
5-74,19-74
82-94,23-83
48-58,42-57
3-84,2-93
6-99,3-99
6-89,7-16
24-69,24-25
16-80,81-92
4-48,9-48
1-98,2-70
67-78,72-78
27-39,26-28
3-98,2-2
95-97,9-96
73-88,72-89
14-94,95-95
1-62,63-75
12-76,11-11
95-95,86-96
19-38,1-23
42-87,42-86
7-75,8-74
5-7,6-40
49-52,49-66
80-85,83-85
7-44,8-43
71-94,62-67
97-97,26-97
3-98,2-99
29-29,30-99
3-65,1-66
2-3,4-29
46-95,99-99
91-96,13-90
2-85,3-84
40-87,40-70
36-49,38-48
30-49,34-50
25-69,51-68
90-95,71-81
65-99,66-87
14-63,13-63
13-94,95-97
91-91,55-91
30-65,65-81
18-44,43-70
14-44,13-15
73-94,88-89
12-71,47-58
47-84,73-84
20-57,17-72
30-50,30-30
22-23,22-66
14-38,32-43
11-83,12-83
21-58,11-58
41-86,40-87
5-73,72-82
38-64,15-39
38-39,14-39
12-94,2-13
39-55,56-56
88-89,88-89
2-7,2-99
91-94,38-91
12-81,11-94
9-87,9-83
79-82,31-79
23-32,24-31
9-99,8-99
54-66,54-63
33-96,95-97
21-88,21-87
15-81,17-80
38-91,39-92
22-59,59-94
26-99,26-37
1-91,2-98
11-59,11-95
35-76,61-77
84-94,19-80
49-55,55-74
37-99,36-98
47-85,46-46
66-72,35-66
61-96,32-96
14-57,75-76
3-97,2-97
90-92,66-95
89-95,88-94
36-94,94-98
22-24,23-40
99-99,19-97
19-86,10-85
23-61,51-61
63-63,8-63
5-80,80-80
7-7,8-90
9-75,9-10
14-68,17-67
72-99,71-72
19-78,13-79
95-99,8-96
31-33,32-32
12-87,11-88
22-56,56-93
98-99,21-97
2-24,3-13
3-99,3-97
13-88,38-68
64-84,42-85
37-70,36-36
26-50,25-44
43-73,42-79
5-5,6-31
52-57,42-58
16-22,22-98
9-76,8-89
29-69,29-68
10-11,11-85
2-45,1-46
29-51,41-52
98-99,2-96
7-97,94-98
12-92,11-13
79-83,41-82
29-92,93-94
2-71,4-72
7-99,6-6
8-99,8-89
51-81,51-80
73-80,62-80
5-99,5-97
22-66,21-65
46-97,28-47
13-72,18-71
30-85,31-91
69-78,78-78
36-80,37-45
2-65,1-1
32-32,30-32
4-90,2-91
32-52,52-71
9-21,6-20
13-13,14-20
11-98,12-92
11-86,87-91
24-62,25-62
18-76,17-76
17-93,18-95
44-44,45-80
6-61,5-5
50-58,25-59
91-91,37-90
13-70,12-14
91-99,17-90
4-98,4-99
34-87,35-79
33-69,28-68
13-28,7-27
41-47,40-42
83-83,84-85
42-63,44-56
6-94,94-94
18-98,98-98
30-32,31-65
20-37,20-38
18-55,40-41
43-53,52-86
27-30,29-81
17-91,17-76
1-7,7-95
20-38,39-93
70-73,4-77
34-36,34-88
65-94,93-96
7-70,6-6
19-65,21-64
34-97,96-96
71-84,70-77
15-80,80-80
12-97,10-11
45-95,94-99
72-72,2-72
41-41,42-47
62-76,77-77
3-88,4-96
21-83,20-84
4-98,3-98
96-98,57-97
51-92,50-96
37-90,36-38
23-90,22-22
35-76,76-76
15-54,15-53
37-81,37-38
19-51,50-52
3-18,16-71
55-55,53-55
34-92,35-91
4-59,4-58
15-94,1-93
34-34,35-82
27-96,27-56
54-58,54-84
90-91,6-99
1-77,1-94
9-98,10-95
40-97,20-64
49-62,82-98
9-97,9-98
16-84,16-99
13-95,61-96
15-98,7-99
94-95,30-86
6-23,6-66
4-65,3-4
41-92,45-93
3-58,3-59
42-49,48-70
95-97,84-96
10-42,9-11
22-92,21-90
46-46,21-46
48-65,47-64
4-14,14-67
25-65,42-65
38-41,5-40
1-2,1-93
40-78,13-77
58-96,58-99
69-97,69-95
6-94,7-95
32-43,31-53
17-80,16-18
22-65,64-64
62-63,10-62
3-99,2-98
23-92,23-24
92-92,19-93
3-94,3-96
