position=<-10351, -10360> velocity=< 1,  1>
position=<-20795, -31321> velocity=< 2,  3>
position=<-20830,  42014> velocity=< 2, -4>
position=< 10606, -31319> velocity=<-1,  3>
position=<-20814, -41796> velocity=< 2,  4>
position=<-52239,  31539> velocity=< 5, -3>
position=< 31586,  10586> velocity=<-3, -1>
position=<-10318,  31540> velocity=< 1, -3>
position=< 10643,  10584> velocity=<-1, -1>
position=< 42042,  10592> velocity=<-4, -1>
position=<-41749, -10360> velocity=< 4,  1>
position=<-41774,  52490> velocity=< 4, -5>
position=< 31590,  31536> velocity=<-3, -3>
position=<-10350, -41789> velocity=< 1,  4>
position=< 42047, -52264> velocity=<-4,  5>
position=< 10631, -20836> velocity=<-1,  2>
position=< 52542, -52270> velocity=<-5,  5>
position=<-52266,  21062> velocity=< 5, -2>
position=<-52258, -10363> velocity=< 5,  1>
position=<-41793,  42016> velocity=< 4, -4>
position=<-31277, -10367> velocity=< 3,  1>
position=< 52510, -52270> velocity=<-5,  5>
position=<-20842, -52269> velocity=< 2,  5>
position=< 10630, -10362> velocity=<-1,  1>
position=< 21082,  42011> velocity=<-2, -4>
position=< 21062,  52487> velocity=<-2, -5>
position=< 52503,  31544> velocity=<-5, -3>
position=< 10587, -31318> velocity=<-1,  3>
position=<-41766,  42015> velocity=< 4, -4>
position=<-52245, -52267> velocity=< 5,  5>
position=<-31277,  31538> velocity=< 3, -3>
position=<-10362,  10583> velocity=< 1, -1>
position=< 31593,  52496> velocity=<-3, -5>
position=< 21108, -20836> velocity=<-2,  2>
position=<-52266,  52490> velocity=< 5, -5>
position=< 21094, -10365> velocity=<-2,  1>
position=< 31575, -20841> velocity=<-3,  2>
position=<-31285,  42013> velocity=< 3, -4>
position=< 10625,  10583> velocity=<-1, -1>
position=<-10313, -52264> velocity=< 1,  5>
position=< 42036,  42014> velocity=<-4, -4>
position=< 31561,  10589> velocity=<-3, -1>
position=< 10624, -41793> velocity=<-1,  4>
position=<-52274, -31314> velocity=< 5,  3>
position=< 10587, -10361> velocity=<-1,  1>
position=< 31545, -41788> velocity=<-3,  4>
position=< 21063, -20838> velocity=<-2,  2>
position=<-52234, -41790> velocity=< 5,  4>
position=< 52523,  52490> velocity=<-5, -5>
position=< 42047, -10361> velocity=<-4,  1>
position=<-41774,  10587> velocity=< 4, -1>
position=<-52274,  42013> velocity=< 5, -4>
position=< 21106,  52494> velocity=<-2, -5>
position=< 52546, -10360> velocity=<-5,  1>
position=< 10633, -20836> velocity=<-1,  2>
position=<-10370, -20844> velocity=< 1,  2>
position=< 42030, -20837> velocity=<-4,  2>
position=< 21075,  42020> velocity=<-2, -4>
position=<-20820,  21063> velocity=< 2, -2>
position=< 10622,  21062> velocity=<-1, -2>
position=< 42066,  21065> velocity=<-4, -2>
position=< 52528, -52273> velocity=<-5,  5>
position=< 10610, -31313> velocity=<-1,  3>
position=<-10370, -20837> velocity=< 1,  2>
position=<-20788,  31535> velocity=< 2, -3>
position=<-20844,  52487> velocity=< 2, -5>
position=< 52510, -41788> velocity=<-5,  4>
position=< 31566, -20844> velocity=<-3,  2>
position=< 42047,  42012> velocity=<-4, -4>
position=<-31282, -41789> velocity=< 3,  4>
position=<-41742,  52493> velocity=< 4, -5>
position=<-41758,  21061> velocity=< 4, -2>
position=< 31579,  52489> velocity=<-3, -5>
position=<-31317,  42013> velocity=< 3, -4>
position=< 10611,  21059> velocity=<-1, -2>
position=< 31535, -41797> velocity=<-3,  4>
position=<-10338, -10365> velocity=< 1,  1>
position=<-52261,  31544> velocity=< 5, -3>
position=<-10368, -10369> velocity=< 1,  1>
position=<-41746,  10587> velocity=< 4, -1>
position=< 31571,  31535> velocity=<-3, -3>
position=<-20786, -10360> velocity=< 2,  1>
position=<-52258,  10584> velocity=< 5, -1>
position=< 52494, -31315> velocity=<-5,  3>
position=<-31317,  52492> velocity=< 3, -5>
position=< 31566, -20839> velocity=<-3,  2>
position=<-20825, -52264> velocity=< 2,  5>
position=< 10614, -10366> velocity=<-1,  1>
position=<-31277, -10366> velocity=< 3,  1>
position=< 52488,  42020> velocity=<-5, -4>
position=<-41795,  31539> velocity=< 4, -3>
position=< 52520, -52269> velocity=<-5,  5>
position=< 21070,  52496> velocity=<-2, -5>
position=<-31293, -31315> velocity=< 3,  3>
position=<-10314,  42016> velocity=< 1, -4>
position=<-20814, -31319> velocity=< 2,  3>
position=<-41777, -52265> velocity=< 4,  5>
position=< 21079,  52494> velocity=<-2, -5>
position=< 21101, -10369> velocity=<-2,  1>
position=<-20821,  31537> velocity=< 2, -3>
position=<-20802,  21063> velocity=< 2, -2>
position=< 52531,  21060> velocity=<-5, -2>
position=<-20828,  52496> velocity=< 2, -5>
position=< 10590,  52488> velocity=<-1, -5>
position=< 52511,  31537> velocity=<-5, -3>
position=<-20817, -20839> velocity=< 2,  2>
position=< 21082,  10587> velocity=<-2, -1>
position=< 52530, -31321> velocity=<-5,  3>
position=<-41782, -41795> velocity=< 4,  4>
position=< 42034, -10360> velocity=<-4,  1>
position=<-41765, -20841> velocity=< 4,  2>
position=<-41788,  42020> velocity=< 4, -4>
position=< 42047,  31544> velocity=<-4, -3>
position=<-31314, -41793> velocity=< 3,  4>
position=< 10611,  31543> velocity=<-1, -3>
position=< 10611, -10360> velocity=<-1,  1>
position=< 31542, -41795> velocity=<-3,  4>
position=< 42050, -52269> velocity=<-4,  5>
position=< 31592,  10592> velocity=<-3, -1>
position=<-10317,  21059> velocity=< 1, -2>
position=< 52544, -31321> velocity=<-5,  3>
position=<-31282,  52488> velocity=< 3, -5>
position=<-52242,  31535> velocity=< 5, -3>
position=<-31290, -52271> velocity=< 3,  5>
position=<-52256, -31312> velocity=< 5,  3>
position=<-31306, -10364> velocity=< 3,  1>
position=< 21077, -20840> velocity=<-2,  2>
position=< 10598, -10365> velocity=<-1,  1>
position=<-41761, -20837> velocity=< 4,  2>
position=< 31571, -31315> velocity=<-3,  3>
position=<-41772,  10587> velocity=< 4, -1>
position=<-41750,  21067> velocity=< 4, -2>
position=< 31539, -31314> velocity=<-3,  3>
position=< 10619,  10590> velocity=<-1, -1>
position=<-10341,  31539> velocity=< 1, -3>
position=<-20814, -52268> velocity=< 2,  5>
position=<-20814,  21066> velocity=< 2, -2>
position=< 10614,  10585> velocity=<-1, -1>
position=<-41774,  21061> velocity=< 4, -2>
position=< 10622, -20840> velocity=<-1,  2>
position=<-41793,  31541> velocity=< 4, -3>
position=<-20841,  21061> velocity=< 2, -2>
position=< 10622, -41792> velocity=<-1,  4>
position=<-31317,  10590> velocity=< 3, -1>
position=<-10341, -10369> velocity=< 1,  1>
position=<-31322,  42018> velocity=< 3, -4>
position=<-20838, -20840> velocity=< 2,  2>
position=<-20844, -10360> velocity=< 2,  1>
position=< 10634, -41789> velocity=<-1,  4>
position=< 42010,  52496> velocity=<-4, -5>
position=<-41777,  31542> velocity=< 4, -3>
position=< 10602, -31316> velocity=<-1,  3>
position=< 52538,  42015> velocity=<-5, -4>
position=< 21083,  52489> velocity=<-2, -5>
position=< 21066,  21060> velocity=<-2, -2>
position=<-20805, -41793> velocity=< 2,  4>
position=< 21087, -41788> velocity=<-2,  4>
position=< 52514,  21066> velocity=<-5, -2>
position=< 52515, -41790> velocity=<-5,  4>
position=< 21066, -31313> velocity=<-2,  3>
position=<-41753, -52272> velocity=< 4,  5>
position=< 10587,  31537> velocity=<-1, -3>
position=<-20814, -31312> velocity=< 2,  3>
position=< 10627,  52488> velocity=<-1, -5>
position=< 52523, -20837> velocity=<-5,  2>
position=<-41774,  52492> velocity=< 4, -5>
position=<-52269,  21062> velocity=< 5, -2>
position=<-31282,  10583> velocity=< 3, -1>
position=<-31322,  21059> velocity=< 3, -2>
position=<-31302, -20845> velocity=< 3,  2>
position=< 52526, -10360> velocity=<-5,  1>
position=< 31536, -41793> velocity=<-3,  4>
position=<-20809,  42015> velocity=< 2, -4>
position=< 31542, -52271> velocity=<-3,  5>
position=< 52486, -10363> velocity=<-5,  1>
position=<-10311,  42011> velocity=< 1, -4>
position=<-41761,  10584> velocity=< 4, -1>
position=< 42050, -41789> velocity=<-4,  4>
position=< 52515, -20838> velocity=<-5,  2>
position=< 21058, -20841> velocity=<-2,  2>
position=< 31586, -31320> velocity=<-3,  3>
position=<-41766,  31541> velocity=< 4, -3>
position=<-41769,  31540> velocity=< 4, -3>
position=<-52250, -31320> velocity=< 5,  3>
position=< 52543,  42020> velocity=<-5, -4>
position=< 42052, -20841> velocity=<-4,  2>
position=< 52499,  31544> velocity=<-5, -3>
position=< 52515, -20842> velocity=<-5,  2>
position=< 31537,  31535> velocity=<-3, -3>
position=< 52490, -20836> velocity=<-5,  2>
position=< 52518,  21066> velocity=<-5, -2>
position=< 31590,  52492> velocity=<-3, -5>
position=<-10310, -10369> velocity=< 1,  1>
position=< 31582,  42019> velocity=<-3, -4>
position=<-10368, -52269> velocity=< 1,  5>
position=< 31539, -20844> velocity=<-3,  2>
position=< 10590, -41796> velocity=<-1,  4>
position=< 52538, -20837> velocity=<-5,  2>
position=<-41737,  31543> velocity=< 4, -3>
position=<-52271, -31312> velocity=< 5,  3>
position=< 31559,  42012> velocity=<-3, -4>
position=<-10330,  31542> velocity=< 1, -3>
position=<-41797,  31539> velocity=< 4, -3>
position=< 10639,  52487> velocity=<-1, -5>
position=< 31566, -41792> velocity=<-3,  4>
position=< 42068,  42020> velocity=<-4, -4>
position=< 42066, -20840> velocity=<-4,  2>
position=< 10583, -52264> velocity=<-1,  5>
position=< 21066,  31543> velocity=<-2, -3>
position=< 10606, -41790> velocity=<-1,  4>
position=< 42042, -41793> velocity=<-4,  4>
position=< 42038, -31314> velocity=<-4,  3>
position=<-20806, -20842> velocity=< 2,  2>
position=< 42010, -10366> velocity=<-4,  1>
position=<-41795, -20841> velocity=< 4,  2>
position=< 10633,  21059> velocity=<-1, -2>
position=< 52527, -10369> velocity=<-5,  1>
position=< 21109, -31312> velocity=<-2,  3>
position=<-52224,  52496> velocity=< 5, -5>
position=< 10583,  10592> velocity=<-1, -1>
